ID,Precio,Referencia,Ubicacion,Ciudad,Habitaciones,Banos,Superficie,Planta,Web,Fecha,Enlace
163005240,1200,Sants - Montjuïc,2,1,40,1ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado-internet/163005240/d,Fotocasa,Barcelona,163027883,2022-04-03
157844000,958,Sarrià - Sant Gervasi,1,1,46,3ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-no-amueblado/157844000/d,Fotocasa,Barcelona,163005241,2022-04-03
161277885,1915,Ático en Gràcia,1,1,60,3ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-terraza-amueblado-internet/161277885/d,Fotocasa,Barcelona,157844001,2022-04-03
161945724,770,Sant Andreu,1,1,51,NA,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/terraza/161945724/d,Fotocasa,Barcelona,161277886,2022-04-03
162932292,950,Horta - Guinardó,3,1,50,2ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-trastero-zona-comunitaria-ascensor-amueblado/162932292/d,Fotocasa,Barcelona,161945725,2022-04-03
155243828,1200,Ciutat Vella,1,1,37,Entresuelo,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado-internet/155243828/d,Fotocasa,Barcelona,162932293,2022-04-03
155245136,1865,Sarrià - Sant Gervasi,2,1,80,3ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/155245136/d,Fotocasa,Barcelona,155243829,2022-04-03
162493099,952,Sarrià - Sant Gervasi,1,1,46,2ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/162493099/d,Fotocasa,Barcelona,155245137,2022-04-03
158891802,1950,Ciutat Vella,2,1,50,Entresuelo,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/television-internet/158891802/d,Fotocasa,Barcelona,162493100,2022-04-03
161748019,3500,Sarrià - Sant Gervasi,3,3,180,1ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor-amueblado/161748019/d,Fotocasa,Barcelona,158891803,2022-04-03
159099093,1248,Sarrià - Sant Gervasi,3,1,90,3ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-no-amueblado/159099093/d,Fotocasa,Barcelona,161748020,2022-04-03
161909978,1237,Eixample,2,1,80,6ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-no-amueblado/161909978/d,Fotocasa,Barcelona,159099094,2022-04-03
159622805,1400,Eixample,1,1,35,Subsótano,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-television-internet/159622805/d,Fotocasa,Barcelona,161909979,2022-04-03
162556762,1303,Les Corts,1,1,89,2ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-no-amueblado/162556762/d,Fotocasa,Barcelona,159622806,2022-04-03
163104455,3029,Eixample,4,3,213,3ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/ascensor/163104455/d,Fotocasa,Barcelona,162556763,2022-04-03
163113621,1500,Ciutat Vella,2,2,110,1ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-ascensor-amueblado/163113621/d,Fotocasa,Barcelona,163104456,2022-04-03
163104310,1250,Gràcia,1,1,46,5ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/163104310/d,Fotocasa,Barcelona,163113622,2022-04-03
163014773,2400,Eixample,2,3,130,2ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor-se-aceptan-mascotas-no-amueblado/163014773/d,Fotocasa,Barcelona,163104311,2022-04-03
163014181,3300,Les Corts,4,4,180,5ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-no-amueblado/163014181/d,Fotocasa,Barcelona,163014774,2022-04-03
163008190,1500,Les Corts,4,2,88,4ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/163008190/d,Fotocasa,Barcelona,163014182,2022-04-03
163129773,700,Ciutat Vella,1,1,35,Aire,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado/163129773/d,Fotocasa,Barcelona,163008191,2022-04-03
162688156,2600,Sarrià - Sant Gervasi,5,3,173,5ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor/162688156/d,Fotocasa,Barcelona,163129774,2022-04-03
162989066,3900,Sarrià - Sant Gervasi,4,4,350,Terraza,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-parking-terraza-no-amueblado/162989066/d,Fotocasa,Barcelona,162688157,2022-04-03
156562736,1200,Eixample,1,1,40,Entresuelo,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado-parking/156562736/d,Fotocasa,Barcelona,162989067,2022-04-03
